class,path,name,rank,cves
exploits,exploits/example_linux_priv_esc,"Sample Linux Priv Esc",normal,
exploits,exploits/example_linux_persistence,"Sample Linux Persistence",excellent,
exploits,exploits/example_webapp,"Sample Webapp Exploit",normal,
exploits,exploits/example,"Sample Exploit",normal,
exploits,exploits/multi/handler,"Generic Payload Handler",manual,
exploits,exploits/aix/rpc_cmsd_opcode21,"AIX Calendar Manager Service Daemon (rpc.cmsd) Opcode 21 Buffer Overflow",great,
exploits,exploits/aix/rpc_ttdbserverd_realpath,"ToolTalk rpc.ttdbserverd _tt_internal_realpath Buffer Overflow (AIX)",great,
exploits,exploits/openbsd/local/dynamic_loader_chpass_privesc,"OpenBSD Dynamic Loader chpass Privilege Escalation",excellent,CVE-2019-19726
exploits,exploits/mainframe/ftp/ftp_jcl_creds,"FTP JCL Execution",normal,
exploits,exploits/multi/vnc/vnc_keyboard_exec,"VNC Keyboard Remote Code Execution",great,
exploits,exploits/multi/scada/inductive_ignition_rce,"Inductive Automation Ignition Remote Code Execution",excellent,
exploits,exploits/multi/wyse/hagent_untrusted_hsdata,"Wyse Rapport Hagent Fake Hserver Command Execution",excellent,
exploits,exploits/multi/upnp/libupnp_ssdp_overflow,"Portable UPnP SDK unique_service_name() Remote Code Execution",normal,
exploits,exploits/multi/postgres/postgres_createlang,"PostgreSQL CREATE LANGUAGE Execution",good,
exploits,exploits/multi/postgres/postgres_copy_from_program_cmd_exec,"PostgreSQL COPY FROM PROGRAM Command Execution",excellent,
exploits,exploits/multi/ftp/wuftpd_site_exec_format,"WU-FTPD SITE EXEC/INDEX Format String Vulnerability",great,
exploits,exploits/multi/ftp/pureftpd_bash_env_exec,"Pure-FTPd External Authentication Bash Environment Variable Code Injection (Shellshock)",excellent,
exploits,exploits/multi/gdb/gdb_server_exec,"GDB Server Remote Payload Execution",great,
exploits,exploits/multi/vpn/tincd_bof,"Tincd Post-Authentication Remote TCP Stack Buffer Overflow",average,
exploits,exploits/multi/php/jorani_path_trav,"Jorani unauthenticated Remote Code Execution",excellent,
exploits,exploits/multi/php/wp_duplicator_code_inject,"Snap Creek Duplicator WordPress plugin code injection",manual,
exploits,exploits/multi/php/php_unserialize_zval_cookie,"PHP 4 unserialize() ZVAL Reference Counter Overflow (Cookie)",average,
exploits,exploits/multi/php/ignition_laravel_debug_rce,"Unauthenticated remote code execution in Ignition",excellent,
exploits,exploits/multi/ssh/sshexec,"SSH User Code Execution",manual,
exploits,exploits/multi/script/web_delivery,"Script Web Delivery",manual,
exploits,exploits/multi/fileformat/swagger_param_inject,"JSON Swagger CodeGen Parameter Injector",excellent,CVE-2016-5641
exploits,exploits/multi/fileformat/js_unpacker_eval_injection,"Javascript Injection for Eval-based Unpackers",excellent,
exploits,exploits/multi/fileformat/evince_cbt_cmd_injection,"Evince CBT File Command Injection",excellent,CVE-2017-1000083
exploits,exploits/multi/fileformat/libreoffice_logo_exec,"LibreOffice Macro Python Code Execution",normal,CVE-2018-16858;CVE-2019-9848;CVE-2019-9851
exploits,exploits/multi/fileformat/archive_tar_arb_file_write,"PEAR Archive_Tar 1.4.10 Arbitrary File Write",excellent,
exploits,exploits/multi/fileformat/libreoffice_macro_exec,"LibreOffice Macro Code Execution",normal,CVE-2018-16858
exploits,exploits/multi/fileformat/ghostscript_format_string_cve_2024_29510,"Ghostscript Command Execution via Format String",excellent,CVE-2024-29510
exploits,exploits/multi/fileformat/xdg_desktop,"Malicious XDG Desktop File",great,
exploits,exploits/multi/fileformat/gitlens_local_config_exec,"GitLens Git Local Configuration Exec",excellent,
exploits,exploits/multi/fileformat/adobe_u3d_meshcont,"Adobe U3D CLODProgressiveMeshDeclaration Array Overrun",good,
exploits,exploits/multi/fileformat/nodejs_js_yaml_load_code_exec,"Nodejs js-yaml load() Code Execution",excellent,
exploits,exploits/multi/fileformat/office_word_macro,"office_word_macro",excellent,
exploits,exploits/multi/fileformat/peazip_command_injection,"PeaZip Zip Processing Command Injection",excellent,
exploits,exploits/multi/fileformat/ghostscript_failed_restore,"Ghostscript Failed Restore Command Execution",excellent,
exploits,exploits/multi/fileformat/maple_maplet,"Maple Maplet File Creation and Command Execution",excellent,
exploits,exploits/multi/fileformat/zip_slip,"Generic Zip Slip Traversal Vulnerability",manual,
exploits,exploits/multi/fileformat/visual_studio_vsix_exec,"Visual Studio vsix Extension Exec",excellent,
exploits,exploits/multi/kubernetes/exec,"Kubernetes authenticated code execution",manual,
exploits,exploits/multi/ids/snort_dce_rpc,"Snort 2 DCE/RPC Preprocessor Buffer Overflow",good,
exploits,exploits/multi/svn/svnserve_date,"Subversion Date Svnserve",average,
exploits,exploits/multi/veritas/beagent_sha_auth_rce,"Veritas Backup Exec Agent Remote Code Execution",excellent,
exploits,exploits/multi/browser/java_trusted_chain,"Java Statement.invoke() Trusted Method Chain Privilege Escalation",excellent,CVE-2010-0840
exploits,exploits/multi/browser/itms_overflow,"Apple OS X iTunes 8.1.1 ITMS Overflow",great,
exploits,exploits/multi/browser/java_calendar_deserialize,"Sun Java Calendar Deserialization Privilege Escalation",excellent,CVE-2008-5353
exploits,exploits/multi/browser/java_jre17_glassfish_averagerangestatisticimpl,"Java Applet AverageRangeStatisticImpl Remote Code Execution",excellent,CVE-2012-5076
exploits,exploits/multi/browser/firefox_xpi_bootstrapped_addon,"Mozilla Firefox Bootstrapped Addon Social Engineering Code Execution",excellent,
exploits,exploits/multi/browser/java_jre17_exec,"Java 7 Applet Remote Code Execution",excellent,CVE-2012-4681
exploits,exploits/multi/browser/mozilla_navigatorjava,"Mozilla Suite/Firefox Navigator Object Code Execution",normal,
exploits,exploits/multi/browser/adobe_flash_nellymoser_bof,"Adobe Flash Player Nellymoser Audio Decoding Buffer Overflow",great,CVE-2015-3043;CVE-2015-3113
exploits,exploits/multi/browser/mozilla_compareto,"Mozilla Suite/Firefox compareTo() Code Execution",normal,
exploits,exploits/multi/browser/java_jre17_method_handle,"Java Applet Method Handle Remote Code Execution",excellent,CVE-2012-5088
exploits,exploits/multi/browser/adobe_flash_uncompress_zlib_uaf,"Adobe Flash Player ByteArray UncompressViaZlibVariant Use After Free",great,CVE-2015-0311
exploits,exploits/multi/browser/java_jre17_jaxws,"Java Applet JAX-WS Remote Code Execution",excellent,CVE-2012-5067;CVE-2012-5076
exploits,exploits/multi/browser/firefox_pdfjs_privilege_escalation,"Firefox PDF.js Privileged Javascript Injection",manual,CVE-2015-0802
exploits,exploits/multi/browser/firefox_queryinterface,"Firefox location.QueryInterface() Code Execution",normal,
exploits,exploits/multi/browser/java_setdifficm_bof,"Sun Java JRE AWT setDiffICM Buffer Overflow",great,CVE-2009-3869
exploits,exploits/multi/browser/java_jre17_provider_skeleton,"Java Applet ProviderSkeleton Insecure Invoke Method",great,CVE-2013-2460
exploits,exploits/multi/browser/adobe_flash_shader_drawing_fill,"Adobe Flash Player Drawing Fill Shader Memory Corruption",great,CVE-2015-3105
